A,Be,Bi,P,St,Si,V,treatment ,evenness,richness,root,plant,FG_G,FG_H,FG_L,WSA,pH,WHC,lv,remark,nr,dissim
1,1,0,1,1,0,0,A-Be-P-St,0.710599896,9,11.79,6.8406,2.032,1.3074,3.5012,28.22921957,7.22,29.1,4,4,130,0.458285001
1,0,1,1,0,1,0,A-Bi-P-Si,0.783764218,9,6.99,6.4758,2.0177,1.1863,3.2718,28.91198044,7.18,29,4,4,131,0.373205457
1,1,0,0,1,0,1,A-Be-St-V,0.597247743,9,3.09,6.5394,1.4642,0.8262,4.249,44.9134354,7,32.5,4,4,132,0.725985013
0,1,0,1,0,1,1,Be-P-Si-V,0.699125531,9,10.71,8.9057,3.3198,0.9885,4.5974,33.22495606,7.25,28.8,4,4,133,0
0,0,1,0,1,1,1,Bi-St-Si-V,0.465259389,8,4.91,9.2804,1.2703,0.3974,7.6127,33.63142908,7.24,31.5,4,4,134,1
0,0,1,1,0,1,1,Bi-P-Si-V,0.774617124,8,4.29,4.9851,3.6682,0.2154,1.1015,43.47680696,7.18,35.5,4,4,135,0.462156201
1,0,1,0,1,1,1,A-Bi-St-Si-V,0.793943364,9,5.3,4.4784,1.3021,0.5542,2.6221,43.15511979,7.17,31.5,5,5,136,1
1,0,1,1,1,1,0,A-Bi-P-St-Si,0.620663244,8,5.24,7.1123,0.6718,0.7721,5.6684,39.4575678,7.22,34.2,5,5,137,0.758789018
0,1,1,1,1,0,1,Bi-Be-P-St-V,0.827808342,7,3.16,4.4594,2.1076,0.1104,2.2414,28.32153094,7.03,30.6,5,5,138,0.463176452
1,1,0,1,1,0,1,A-Be-P-St-V,0.494621221,9,6.31,8.37,1.3188,1.0689,5.9823,30.34426859,7.16,31.7,5,5,139,0.436858049
0,1,0,1,1,1,1,Be-P-St-Si-V,0.510705186,9,6.13,8.7715,1.5393,0.9225,6.3097,43.11401716,7.19,32.4,5,5,140,0.199333834
0,1,1,1,0,1,1,Bi-Be-P-Si-V,0.631410577,7,5.17,11.24,7.4299,0.0818,3.7283,38.2221196,7.22,30.8,5,5,141,0.057233624
1,1,1,0,1,1,0,A-Bi-Be-St-Si,0.493896563,9,8.68,8.3801,1.9684,0.8017,5.61,31.02099804,7.24,31,5,5,142,0.730163514
1,1,0,1,0,1,1,A-Be-P-Si-V,0.658802222,8,7.87,8.8115,5.4091,0.038,3.3644,37.38359599,7.22,29.6,5,5,143,0
1,1,1,0,0,1,1,A-Bi-Be-Si-V,0.563286767,9,21.17,11.104,4.7145,0.1872,6.2023,33.43627664,7.37,31.4,5,5,144,0.259344383
0,0,1,1,1,1,1,Bi-P-St-Si-V,0.600558448,9,3.47,7.7546,1.8191,0.8313,5.1042,34.41664822,7.19,30.2,5,5,145,0.738075294
